lang_pair,key_word,translation,POS,SIPlang,Endirection,l1_wordlength,l2_wordlength,tt_seen_p,tt_right_p,nr_grammar_tags,this_POS_prop,propcorr_p,userexperience_log,ld,human_conc,neighbour_overlap,local_alignment_d1,local_alignment_d2,local_alignment_avg,local_alignment_diff,semantic_density_l1,semantic_density_l2,semantic_density_diff,conc_est_l2,conc_est_l1,l2_freq_wfzipf,l1_freq_wfzipf,l2_nrsynsets_wn,l1_nrsynsets_wn,wordexperience_log,userexperience_log,l1_nrsynsets_log,l2_nrsynsets_log,diff_l1_minus_l2_semantic_density,diff_l1_minus_l2_nrsynsets_log,diff_l1_minus_l2_freq_wfzipf
en_from_es,accuse,acusar,Verb,es,learners,6,6,6.118181818,5.654545455,1,1,0.939660865,10481.55455,0.5,2.25,16,0.552592467,0.646613162,0.599602814,-0.094020695,306.5144045,270.2767543,36.23765011,2.898792039,2.605005862,3.68,3.78,2,3,1.622721456,8.41706033,1.386294361,1.098612289,36.23765011,0.287682072,0.1
en_from_es,achieve,lograr,Verb,es,learners,6,7,9.407079646,7.672566372,1,1,0.862811651,13298.19469,0,2.29,18,0.387811645,0.553858218,0.470834931,-0.166046573,333.5247324,292.188334,41.33639836,2.845112959,2.676481261,4.58,4.83,1,9,1.929741679,8.714956185,2.302585093,0.693147181,41.33639836,1.609437912,0.25
en_from_es,act,actuar,Noun,es,learners,6,3,6.883116883,6.545454545,1,1,0.961951937,13697.03896,0.5,2.46,2,0.114361214,-0.176619237,-0.031129011,0.290980452,307.9212557,244.170058,63.75119774,3.05981123,2.894460096,5.37,4.68,15,6,1.746186113,8.747282405,1.945910149,2.772588722,63.75119774,-0.826678573,-0.69
en_from_es,action,acción,Noun,es,learners,6,6,7.58,7,1,1,0.92175187,15634.22,0.667,2.86,13,0.475463656,0.341809698,0.408636677,0.133653958,262.1879244,236.689834,25.49809034,3.194960692,2.896023453,5.32,5.17,12,7,1.809775561,8.74851109,2.079441542,2.564949357,25.49809034,-0.485507816,-0.15
en_from_es,activity,actividad,Noun,es,learners,9,8,4.946428571,4.892857143,1,1,0.991709184,7816.571429,0.667,2.72,17,0.136497375,0.464149973,0.300323674,-0.327652598,268.5986505,270.3135943,-1.714943803,3.075747112,2.796990092,4.91,5.08,6,5,1.489451612,8.348803259,1.791759469,1.945910149,-1.714943803,-0.15415068,0.17
en_from_es,actor,actor,Noun,es,learners,5,5,6.208588957,6.028629857,1,1,0.972583086,4556.435583,1,4.57,25,0.623152597,0.581843101,0.602497849,0.041309496,237.2949788,223.5611775,13.73380133,3.501445779,3.649144266,4.58,4.41,2,2,1.726791703,7.664003587,1.098612289,1.098612289,13.73380133,0,-0.17
en_from_es,add,añadir,Verb,es,learners,6,3,12.37087912,10.78571429,1,1,0.885824722,9667.486264,0.333,3,12,0.124344856,-0.019844472,0.052250192,0.144189327,315.3863136,274.9749848,40.4113288,3.062431619,2.889449008,5.07,4.29,7,7,2.128247136,8.304243825,2.079441542,2.079441542,40.4113288,0,-0.78
en_from_es,addition,adición,Noun,es,learners,7,8,7.388059701,6.26119403,1,1,0.866232278,12084.70149,0.625,2.89,8,0.329260282,0.00266553,0.165962906,0.326594751,257.3829497,336.190591,-78.80764127,3.099328952,2.659525109,4.99,3.76,6,0,1.713734278,8.42060807,0,1.945910149,-78.80764127,-1.945910149,-1.23
en_from_es,address,dirección,Noun,es,learners,9,7,6.289855072,6.036231884,1,1,0.956670823,13369.63043,0.222,3.89,1,-0.305725037,0.030644688,-0.137540175,-0.336369724,229.1807474,251.9779041,-22.79715672,3.087064255,3.263048787,4.89,5.18,18,17,1.59974111,8.408366973,2.890371758,2.944438979,-22.79715672,-0.054067221,0.29
en_from_es,advantage,ventaja,Noun,es,learners,7,9,13.52688172,12.22580645,1,1,0.919292709,5043.860215,0.444,2,16,0.476909588,0.461955739,0.469432663,0.014953849,293.2074205,302.9831612,-9.775740741,2.925335465,2.993665052,4.79,4.53,4,7,2.116064621,7.636280596,2.079441542,1.609437912,-9.775740741,0.470003629,-0.26
en_from_es,adventure,aventura,Noun,es,learners,8,9,6.461165049,6.393203883,1,1,0.989285836,8749.31068,0.778,2.59,18,0.64560149,0.612782975,0.629192232,0.032818515,269.4746412,249.4082472,20.06639402,3.080679279,2.8427762,4.39,4.39,3,4,1.671231582,8.044413665,1.609437912,1.386294361,20.06639402,0.223143551,0
en_from_es,advertise,publicitar,Verb,es,learners,10,9,6.324324324,5.513513514,1,1,0.864593515,19389.24324,0.1,3.88,12,0.622391627,0.740868938,0.681630283,-0.11847731,317.1263142,295.4293384,21.69697575,3.01173237,2.889598823,3.57,3.05,2,1,1.724379926,9.368498078,0.693147181,1.098612289,21.69697575,-0.405465108,-0.52
en_from_es,advertisement,publicidad,Noun,es,learners,10,13,7.926829268,6.12195122,1,1,0.793251976,20052.02439,0.077,3.77,9,0.652105591,0.675806608,0.663956099,-0.023701018,301.417047,287.479399,13.937648,3.252045856,3.096654795,3.8,4.64,1,3,1.93304371,9.485186403,1.386294361,0.693147181,13.937648,0.693147181,0.84
en_from_es,advice,consejo,Noun,es,learners,7,6,7.482758621,5.931034483,1,1,0.808892778,14491.51724,0,2.73,0,-0.016242061,0.213646086,0.098702013,-0.229888147,255.3649503,299.5362666,-44.17131635,2.966988478,3.251111538,4.88,5.25,1,7,1.831666704,8.896283517,2.079441542,0.693147181,-44.17131635,1.386294361,0.37
en_from_es,affect,afectar,Verb,es,learners,7,6,8.294117647,7.955882353,1,1,0.96079194,15318.80882,0.571,1.75,18,0.365859982,0.382901792,0.374380887,-0.017041809,324.6292541,279.0853609,45.54389319,2.839685503,2.526380296,4.6,4.09,6,6,1.808921538,8.65581613,1.945910149,1.945910149,45.54389319,0,-0.51
en_from_es,afraid,asustado,Adjective,es,learners,8,6,9.231182796,8.02688172,1,1,0.871148944,7674.997312,0.25,2.7,7,0.246288993,0.275359354,0.260824173,-0.029070362,327.6280632,344.527597,-16.8995338,2.829182494,3.050275965,4.72,3.62,4,0,1.978677499,7.928536164,0,1.609437912,-16.8995338,-1.609437912,-1.1
en_from_es,after,después,Functionword,es,learners,7,5,8.284688995,7.722488038,1,1,0.93803104,4163.789474,0,2.12,15,0.57238649,0.573337512,0.572862001,-0.000951022,328.431848,304.6650588,23.76678921,3.026299425,2.66437453,6.08,5.9,3,0,1.949398502,7.484443406,0,1.386294361,23.76678921,-1.386294361,-0.18
en_from_es,afternoon,tarde,Noun,es,learners,5,9,10.5793582,9.770164788,1,1,0.921315864,4051.120555,0.222,3.7,8,0.244177021,0.141974246,0.193075634,0.102202775,291.8397244,271.6854428,20.15428162,3.29201205,2.592052865,4.71,5.43,2,1,2.111726192,7.38903801,0.693147181,1.098612289,20.15428162,-0.405465108,0.72
en_from_es,again,nuevamente,Adverb,es,learners,10,5,8.437229437,7.536796537,1,1,0.920544784,9432.584416,0.2,2,16,0.396782839,0.027875408,0.212329123,0.368907431,319.0582846,343.9223689,-24.86408425,2.953898495,2.576183336,5.7,4.62,1,0,1.822857578,8.005331285,0,0.693147181,-24.86408425,-0.693147181,-1.08
en_from_es,against,contra,Functionword,es,learners,6,7,11.67862069,10.82758621,1,1,0.921790319,4640.201379,0,1.8,20,0.305747333,0.302176899,0.303962116,0.003570434,255.8193413,244.5618374,11.25750396,3.097119278,2.875307389,5.7,5.8,0,0,2.233647344,7.54616506,0,0,11.25750396,0,0.1
en_from_es,age,edad,Noun,es,learners,4,3,8.055776892,6.451195219,1,1,0.796287107,4280.10757,0,2.86,14,0.309978479,0.013469819,0.161724149,0.296508659,250.3090583,220.0645815,30.24447679,3.288674662,3.123896563,5.33,5.21,8,3,1.853611946,7.487907087,1.386294361,2.197224577,30.24447679,-0.810930216,-0.12
en_from_es,agency,agencia,Noun,es,learners,7,6,7.386363636,7.136363636,1,1,0.966540278,20668.45455,0.714,3.87,23,0.558682622,0.571082674,0.564882648,-0.012400052,232.7993207,232.3003412,0.498979566,3.164021729,3.17248602,4.89,4.61,5,2,1.878527029,9.123976894,1.098612289,1.791759469,0.498979566,-0.693147181,-0.28
en_from_es,agent,agente,Noun,es,learners,6,5,11.77777778,11.31111111,1,1,0.962607443,23818.57778,0.833,3.61,19,0.406102523,0.407236826,0.406669675,-0.001134303,242.1294407,218.0070884,24.12235236,3.297414714,3.24348065,4.75,4.53,6,8,2.264470014,9.318859969,2.197224577,1.945910149,24.12235236,0.251314428,-0.22
en_from_es,ago,hace,Adverb,es,learners,4,3,6.916129032,6.225806452,1,1,0.917400224,6430.46129,0.25,1.42,11,-0.430547254,-0.168623893,-0.299585574,-0.261923361,305.8460085,272.0031972,33.84281134,3.045421999,2.854270905,5.37,6.01,2,0,1.703110405,7.961864073,0,1.098612289,33.84281134,-1.098612289,0.64
en_from_es,agree,convenir,Verb,es,learners,8,5,8.682008368,8.041841004,1,1,0.931286681,9394.539749,0.125,2.48,4,-0.035498992,0.185979401,0.075240205,-0.221478393,345.2805607,305.9116197,39.368941,2.820455024,2.462881667,4.9,2.9,7,4,1.887713074,8.094766482,1.609437912,2.079441542,39.368941,-0.470003629,-2
en_from_es,agreement,acuerdo,Noun,es,learners,7,9,6.77027027,5.878378378,1,1,0.866797218,16194.58108,0.222,2.22,17,0.505976325,0.60151548,0.553745902,-0.095539155,280.1600354,247.7770632,32.38297219,2.914342397,2.733100712,4.88,5.66,6,12,1.704302474,8.961732176,2.564949357,1.945910149,32.38297219,0.619039208,0.78
en_from_es,aim,apuntar,Noun,es,learners,7,3,7.283018868,6.075471698,1,1,0.847287176,17494.62264,0.143,3.27,2,-0.425188084,0.030428047,-0.197380018,-0.455616131,338.6512305,287.9207476,50.73048286,3.06891292,3.018491881,4.53,3.74,11,13,1.842177375,9.22438438,2.63905733,2.48490665,50.73048286,0.15415068,-0.79
en_from_es,air,aire,Noun,es,learners,4,3,7.555555556,6.577777778,1,1,0.870265352,18159.48889,0.75,4.11,16,0.470960598,-0.10199755,0.184481524,0.572958147,257.2716701,225.4353042,31.83636586,3.411808092,3.515318573,5.4,5.05,15,12,1.80812012,9.188900105,2.564949357,2.772588722,31.83636586,-0.207639365,-0.35
en_from_es,airplane,avión,Noun,es,learners,5,8,8.285106383,7.485106383,1,1,0.922762959,9882.27234,0.25,4.96,24,0.798506762,0.860508709,0.829507735,-0.062001947,275.6720077,267.2772624,8.394745336,3.746687073,3.996555471,3.92,4.66,1,2,1.806146528,8.065626431,1.098612289,0.693147181,8.394745336,0.405465108,0.74
en_from_es,airport,aeropuerto,Noun,es,learners,10,7,9.43220339,8.601694915,1,1,0.920756895,10725.34322,0.5,4.87,31,0.834442547,0.73951248,0.786977513,0.094930067,217.2057257,196.2958626,20.90986315,3.591878359,3.535059232,4.89,4.78,1,1,1.848517068,8.08345129,0.693147181,0.693147181,20.90986315,0,-0.11
en_from_es,alcohol,alcohol,Noun,es,learners,7,7,7.817926566,7.425917927,1,1,0.948987798,1838.235421,1,4.76,21,0.707821508,0.784583826,0.746202667,-0.076762317,260.7153848,246.1034396,14.61194512,3.394895798,3.402359846,4.65,4.54,2,2,1.875772106,6.83919349,1.098612289,1.098612289,14.61194512,0,-0.11
en_from_es,alive,vivo,Adjective,es,learners,4,5,6.553133515,6.073569482,1,1,0.921839204,6084.016349,0.4,3.14,3,0.203138578,-0.085837013,0.058650782,0.288975591,259.002718,292.5490861,-33.54636808,3.12537798,3.118642753,4.75,5.1,7,11,1.692376136,7.775456024,2.48490665,2.079441542,-33.54636808,0.405465108,0.35
en_from_es,all,todos,Adjective,es,learners,5,3,18.5521978,15.11538462,3,0.639663568,0.873148801,10286.70055,0,2.27,20,0.319520923,0.242247653,0.280884288,0.07727327,318.5028543,319.0477541,-0.544899773,3.018192217,2.773165893,6.52,6.21,3,0,2.375045543,8.375750592,0,1.386294361,-0.544899773,-1.386294361,-0.31
en_from_es,allow,permitir,Verb,es,learners,8,5,11.04305284,9.716242661,1,1,0.888951207,7779.641879,0,2.41,17,0.423293921,0.583606493,0.503450207,-0.160312572,333.2461884,328.4315057,4.814682718,2.838034172,2.752375313,5.02,4.65,10,8,2.019818161,7.996639027,2.197224577,2.397895273,4.814682718,-0.200670695,-0.37
en_from_es,almost,casi,Adverb,es,learners,4,6,8.202380952,7.720238095,1,1,0.949124904,7941.744048,0.167,1.66,24,0.509392475,0.394857714,0.452125094,0.114534761,312.4983485,323.5936211,-11.09527267,2.935124342,2.778500626,5.39,5.54,1,0,1.863541645,7.990089844,0,0.693147181,-11.09527267,-0.693147181,0.15
en_from_es,alone,solo,Adjective,es,learners,4,5,10.21383648,9.41509434,1,1,0.931040976,13945.38365,0.2,2.86,11,0.256468013,-0.166392858,0.045037577,0.422860871,358.0350719,297.9367712,60.09830072,3.12160074,2.55769652,5.18,5.96,6,3,2.082423668,8.398898266,1.386294361,1.945910149,60.09830072,-0.559615788,0.78
en_from_es,along,junto,Functionword,es,learners,5,5,6.553623188,5.423188406,1,1,0.849171469,6726.872464,0,2.14,13,0.236585582,0.487548765,0.362067173,-0.250963183,255.9302106,280.9378018,-25.0075912,3.136576565,2.894378703,5.36,5.25,5,1,1.674095796,7.819855322,0.693147181,1.791759469,-25.0075912,-1.098612289,-0.11
en_from_es,already,ya,Adverb,es,learners,2,7,10.97542998,9.619164619,1,1,0.898582591,7893.297297,0.143,1.64,19,0.374977889,0.178068906,0.276523398,0.196908982,412.2358101,343.8496744,68.38613572,2.868527955,2.571772129,5.58,6.31,1,1,2.01386591,8.023307997,0.693147181,0.693147181,68.38613572,0,0.73
en_from_es,also,además,Adverb,es,learners,6,4,9.652267819,8.544276458,1,1,0.910370465,7436.583153,0.167,1.83,14,0.051892745,0.049072478,0.050482611,0.002820267,372.6855162,335.5689484,37.11656788,3.018991855,2.825539824,6.2,5.65,1,6,1.938662745,8.004899402,1.945910149,0.693147181,37.11656788,1.252762968,-0.55
en_from_es,alternative,alternativa,Noun,es,learners,11,11,5.027777778,4.625,1,1,0.91943743,11393.88889,0.909,2.46,19,0.443132375,0.372071929,0.407602152,0.071060446,271.3845625,262.9861995,8.398363009,3.038857374,2.89975488,4.71,4.57,4,1,1.508050372,8.590356618,0.693147181,1.609437912,8.398363009,-0.916290732,-0.14
en_from_es,always,siempre,Adverb,es,learners,7,6,14.46401225,12.41347626,1,1,0.875343625,6917.794793,0,1.71,23,0.222405937,0.015959595,0.119182766,0.206446342,372.905533,384.2025451,-11.29701209,2.812917967,2.546035502,5.75,5.9,5,2,2.184835882,7.952682041,1.098612289,1.791759469,-11.29701209,-0.693147181,0.15
en_from_es,america,américa,Noun,es,learners,7,7,7.689265537,7.316384181,1,1,0.964578726,12172.70621,0.857,,14,0.823879928,0.672620894,0.748250411,0.151259035,231.2547165,234.1611803,-2.90646383,3.270080333,3.118773585,5.17,5.12,2,1,1.713566609,8.401502559,0.693147181,1.098612289,-2.90646383,-0.405465108,-0.05
en_from_es,american,estadounidense,Adjective,es,learners,14,8,8.372631579,7.852631579,2,0.934690837,0.947629155,5871.978947,0.214,,15,0.477052207,0.258476237,0.367764222,0.21857597,210.4363625,236.2660769,-25.82971444,3.26232151,3.21175276,5.44,4.72,5,2,1.918633719,7.757077094,1.098612289,1.791759469,-25.82971444,-0.693147181,-0.72
en_from_es,among,entre,Functionword,es,learners,5,5,11.82697947,11.09090909,1,1,0.936347502,3968.41349,0,2.38,15,0.197303162,0.219099501,0.208201331,-0.021796339,274.0396586,260.5223876,13.51727104,2.99174211,2.89278455,5.38,6.14,0,0,2.289565272,7.496692214,0,0,13.51727104,0,0.76
en_from_es,amount,cantidad,Noun,es,learners,8,6,6.484536082,5.762886598,1,1,0.901610875,15476.64948,0.125,2.74,17,0.556586263,0.691174382,0.623880322,-0.134588118,304.1730433,311.0976262,-6.924582864,3.106983959,3.128295733,5.14,5.2,7,7,1.631796425,8.635676064,2.079441542,2.079441542,-6.924582864,0,0.06
en_from_es,analysis,análisis,Noun,es,learners,8,8,9.55,8.4,1,1,0.898247641,21373.625,0.75,2.56,24,0.560167611,0.62359829,0.59188295,-0.063430679,258.8236983,262.3671582,-3.543459926,2.999447431,2.769548484,4.97,5.02,6,5,2.040158082,9.279508155,1.791759469,1.945910149,-3.543459926,-0.15415068,0.05
en_from_es,analyze,analizar,Verb,es,learners,8,7,7.333333333,7,1,1,0.964252646,22003.25,0.625,2.3,19,0.589806459,0.838383934,0.714095196,-0.248577475,328.0845714,272.9484933,55.13607811,2.976713767,2.767411979,,,,,1.825567278,9.405978455,,,55.13607811,,
en_from_es,and,y,Functionword,es,learners,1,3,27.89868655,24.95477458,1,1,0.890958448,1242.39432,0,1.52,24,0.196171151,0.207851902,0.202011526,-0.011680751,378.3400563,397.1696065,-18.82955021,3.119171144,2.975690557,7.41,7.45,0,1,2.999598231,6.413727977,0.693147181,0,-18.82955021,0.693147181,0.04
en_from_es,animal,animal,Noun,es,learners,6,6,14.1750737,13.49197511,1,1,0.948884868,1690.81248,1,4.61,25,0.620230743,0.635068051,0.627649397,-0.014837308,240.1305956,261.0681852,-20.93758953,3.552170199,3.593578474,4.82,4.69,2,3,2.394931882,6.715903016,1.386294361,1.098612289,-20.93758953,0.287682072,-0.13
en_from_es,announce,anunciar,Verb,es,learners,8,8,7.962962963,7.486772487,1,1,0.942546829,11233.04233,0.375,3.31,16,0.253573234,0.360774664,0.307173949,-0.10720143,307.1112914,271.2153998,35.89589165,3.056437001,2.935604754,4.23,3.96,4,8,1.83271637,8.24063447,2.197224577,1.609437912,35.89589165,0.587786665,-0.27
en_from_es,another,otro,Functionword,es,learners,4,7,13.45338983,11.53813559,1,1,0.907856108,10783.58898,0.286,2.69,20,0.155287141,0.322358886,0.238823013,-0.167071745,363.3491469,359.3423019,4.006845037,3.039966069,2.898323837,5.74,5.86,1,0,2.204791086,8.460590749,0,0.693147181,4.006845037,-0.693147181,0.12
en_from_es,answer,respuesta,Noun,es,learners,9,6,7.777122106,7.350885157,2,0.760316917,0.944083436,3213.907399,0.222,2.89,12,0.447590071,0.647934179,0.547762125,-0.200344108,313.1463276,325.380941,-12.23461338,3.136122665,2.867236547,5.16,5.21,15,6,1.824169886,7.272929975,1.945910149,2.772588722,-12.23461338,-0.826678573,0.05
en_from_es,any,cualquier,Functionword,es,learners,9,3,9.994350282,8.988700565,2,0.979820628,0.906530648,13740.52542,0.111,1.72,19,0.229090481,0.407527015,0.318308748,-0.178436533,311.9047987,342.4869021,-30.58210339,2.910264246,2.705555304,6.04,5.62,2,0,1.892477255,8.566644205,0,1.098612289,-30.58210339,-1.098612289,-0.42
en_from_es,anybody,cualquiera,Functionword,es,learners,10,7,7.50955414,6.668789809,1,1,0.904560346,10410.02548,0.1,2.67,11,0.390972454,0.25132069,0.321146572,0.139651764,338.0169504,350.699253,-12.68230253,3.064201863,2.703793415,4.56,5.05,0,0,1.859039151,8.551829288,0,0,-12.68230253,0,0.49
en_from_es,anything,algo,Functionword,es,learners,4,8,13.73762376,11.14356436,1,1,0.840721363,12920.55446,0.125,1.38,18,0.437829495,0.594690406,0.51625995,-0.156860911,376.5121292,374.0407418,2.471387365,2.961605605,2.723597621,5.54,5.95,0,1,2.195266758,8.557178453,0.693147181,0,2.471387365,0.693147181,0.41
en_from_es,anywhere,dondequiera,Adverb,es,learners,11,8,8.330143541,6.593301435,1,1,0.804526699,9619.382775,0.273,2.21,10,0.295532213,0.229254842,0.262393527,0.066277371,292.0199717,336.5456091,-44.52563735,3.08911235,2.562091109,4.68,3.43,1,0,1.870531917,8.182279474,0,0.693147181,-44.52563735,-0.693147181,-1.25
en_from_es,appear,aparecer,Verb,es,learners,8,6,12.01863354,10.83540373,1,1,0.891592807,10257.28571,0.5,3.13,11,0.143956333,0.418325215,0.281140774,-0.274368882,292.8569504,297.1761052,-4.319154808,3.023468261,3.134031608,4.87,4.4,7,12,2.111662946,8.197695894,2.564949357,2.079441542,-4.319154808,0.485507816,-0.47
en_from_es,apple,manzana,Noun,es,learners,7,5,21.82492499,19.74865676,1,1,0.887215091,1124.540646,0.143,5,16,0.247777802,0.488271463,0.368024632,-0.240493661,233.7612127,227.5431794,6.218033301,3.758781937,3.97769034,4.69,4.03,2,2,2.720735633,6.29013447,1.098612289,1.098612289,6.218033301,0,-0.66
en_from_es,application,solicitud,Noun,es,learners,9,11,7.209302326,7.162790698,1,1,0.994163685,16930.7093,0.364,3.4,4,0.141054815,0.216949602,0.179002209,-0.075894787,280.528198,283.4212724,-2.893074391,3.064808219,2.699305245,4.78,4.44,7,3,1.676491613,8.610023527,1.386294361,2.079441542,-2.893074391,-0.693147181,-0.34
en_from_es,apply,aplicar,Verb,es,learners,7,5,11.32692308,9.961538462,1,1,0.891553204,17116.64423,0.286,2.5,13,0.077864195,0.252564077,0.165214136,-0.174699882,321.5389094,296.6063607,24.93254871,2.876818426,2.757312013,4.76,4.49,10,6,2.112908686,8.815699948,1.945910149,2.397895273,24.93254871,-0.451985124,-0.27
en_from_es,appointment,cita,Noun,es,learners,4,11,8.131539611,7.520179372,1,1,0.918098133,4742.636771,0.182,3,2,-0.142593013,-0.198679693,-0.170636353,0.05608668,265.4339529,260.5657934,4.868159535,3.086660943,3.148632493,4.45,4.71,6,7,1.935395126,7.667372062,2.079441542,1.945910149,4.868159535,0.133531393,0.26
en_from_es,approval,aprobación,Noun,es,learners,10,8,6.292682927,5.87804878,1,1,0.925688133,20224.56098,0.4,2.33,20,0.328827244,0.372099234,0.350463239,-0.04327199,280.0152132,257.5521236,22.46308964,2.93159198,2.585773543,4.46,4.48,4,7,1.655641227,9.386961114,2.079441542,1.609437912,22.46308964,0.470003629,0.02
en_from_es,approximately,aproximadamente,Adverb,es,learners,15,13,8.644144144,7.797297297,1,1,0.898153309,10257.1982,0.533,2.54,23,0.600313555,0.513204993,0.556759274,0.087108562,272.5678517,232.514966,40.05288565,3.165098089,3.088599701,4.7,4.75,1,0,1.813454206,8.256029703,0,0.693147181,40.05288565,-0.693147181,0.05
en_from_es,area,zona,Noun,es,learners,4,4,5.013793103,4.827586207,1,1,0.965451924,4788.641379,0.25,3.72,20,0.413078365,0.286136278,0.349607321,0.126942087,267.2176792,259.960403,7.257276143,3.408090037,3.354839727,5.47,5.24,6,4,1.476815321,7.85783424,1.609437912,1.945910149,7.257276143,-0.336472237,-0.23
en_from_es,argument,argumento,Noun,es,learners,9,8,4.810810811,4.108108108,1,1,0.851104676,10992.08108,0.889,2.85,20,0.273156496,0.058897161,0.166026828,0.214259335,286.4009662,314.2347151,-27.83374888,3.063658282,2.859848851,4.66,4.57,7,6,1.504920161,8.797686369,1.945910149,2.079441542,-27.83374888,-0.133531393,-0.09
en_from_es,arm,brazo,Noun,es,learners,5,3,5.166666667,5.033333333,1,1,0.976324786,9430.8,0.2,4.96,22,0.724254704,0.672956599,0.698605651,0.051298105,258.4759774,218.5887746,39.8872028,3.693696887,3.789778092,4.73,4.46,8,4,1.557092204,8.633269296,1.609437912,2.197224577,39.8872028,-0.587786665,-0.27
en_from_es,army,ejército,Noun,es,learners,8,4,7.34,7.06,1,1,0.953603934,19704.06,0.125,4.7,23,0.638125509,0.535765228,0.586945368,0.102360281,262.2723092,239.4503862,22.82192305,3.362459743,3.471930269,5.07,5.15,3,3,1.793354455,9.341956448,1.386294361,1.386294361,22.82192305,0,0.08
en_from_es,around,alrededor,Functionword,es,learners,9,6,7.59908362,6.714776632,2,0.995659982,0.884450916,4512.084765,0.333,1.96,13,0.40986419,0.397211193,0.403537692,0.012652997,267.5843351,298.8976933,-31.31335819,3.208437176,3.347890316,5.73,5.15,10,1,1.824369239,7.612450488,0.693147181,2.397895273,-31.31335819,-1.704748092,-0.58
